,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,movavg14day,stddiv14day,uppbound,lowbound,Call
0,IDFC,EQ,15-May-2017,63.35,63.95,64.35,63.25,63.65,63.7,63.74,2754130,175543313.65,10529,1119918,40.66,,,,,
1,IDFC,EQ,16-May-2017,63.7,64.0,64.6,62.9,64.55,64.25,63.8,4014549,256135522.95,12172,1694524,42.21,,,,,
2,IDFC,EQ,17-May-2017,64.25,64.65,64.65,63.25,63.25,63.35,63.58,4184709,266048669.85,6189,2802239,66.96,,,,,
3,IDFC,EQ,18-May-2017,63.35,62.4,62.6,61.2,61.35,61.5,61.85,6040654,373622920.9,14151,2475921,40.99,,,,,
4,IDFC,EQ,19-May-2017,61.5,61.85,62.3,60.3,61.0,61.15,61.2,3697284,226272136.6,7537,1711047,46.28,,,,,
5,IDFC,EQ,22-May-2017,61.15,61.3,61.7,60.0,60.1,60.2,60.62,3714457,225183874.2,9335,1491139,40.14,,,,,
6,IDFC,EQ,23-May-2017,60.2,60.3,60.45,57.3,58.2,58.25,58.59,3616589,211897512.8,9665,897898,24.83,,,,,
7,IDFC,EQ,24-May-2017,58.25,58.2,58.9,56.4,56.75,56.9,57.52,4987978,286904990.05,9410,1666628,33.41,,,,,
8,IDFC,EQ,25-May-2017,56.9,57.3,58.35,56.2,57.7,57.6,57.54,29243828,1682796956.4,30826,18794467,64.27,,,,,
9,IDFC,EQ,26-May-2017,57.6,57.8,59.6,57.5,59.45,59.25,58.79,4264464,250716809.4,7597,1994291,46.77,,,,,
10,IDFC,EQ,29-May-2017,59.25,59.3,59.5,57.9,58.5,58.35,58.63,4465533,261816592.05,7958,2467805,55.26,,,,,
11,IDFC,EQ,30-May-2017,58.35,58.2,59.55,57.55,59.15,59.15,58.72,4192784,246181589.3,7911,2145253,51.17,,,,,
