Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 24, 2019",119.1,119.18,119.56,118.52,2.92M
"Oct 23, 2019",119.35,119.17,119.85,118.69,2.87M
"Oct 22, 2019",119.58,119.75,120.17,119.39,2.60M
"Oct 21, 2019",119.74,119.3,119.83,118.82,3.47M
"Oct 18, 2019",119.14,120.45,120.6,119.13,5.59M
"Oct 17, 2019",119.84,119.67,120.25,119.36,3.96M
"Oct 16, 2019",119.42,119.31,120.11,119.1,4.14M
"Oct 15, 2019",119.53,119.33,119.99,118.87,5.39M
"Oct 14, 2019",119.17,119.85,120.46,119.1,4.60M
"Oct 11, 2019",120.24,119.92,120.71,118.72,6.15M
"Oct 10, 2019",119.61,118.9,119.88,118.6,4.44M
"Oct 09, 2019",118.93,118.18,119.3,118.02,3.93M
"Oct 08, 2019",117.58,116.81,118.67,116.66,5.55M
"Oct 07, 2019",117.23,118.1,118.3,116.88,4.75M
"Oct 04, 2019",118.16,116.4,118.3,116.19,4.87M
"Oct 03, 2019",116.31,115.88,116.8,114.58,5.37M
"Oct 02, 2019",116.12,117.4,117.55,115.61,6.01M
"Oct 01, 2019",117.85,118.85,119.11,117.72,3.74M
"Sep 30, 2019",118.68,118.67,119.44,118.56,3.60M
"Sep 27, 2019",118.45,119.21,119.23,117.75,3.44M
"Sep 26, 2019",118.3,118.8,119.55,118.19,3.99M
"Sep 25, 2019",118.47,118.47,118.72,117.81,5.34M
"Sep 24, 2019",118.4,118.25,119.86,118.01,7.71M
"Sep 23, 2019",117.62,116.61,118.41,116.56,5.91M
"Sep 20, 2019",116.98,117.35,117.64,116.8,11.59M
"Sep 19, 2019",117.11,117.4,117.81,116.77,3.40M
"Sep 18, 2019",117.16,116.91,117.23,116.18,4.12M
"Sep 17, 2019",116.51,115.32,116.69,115.25,4.78M
"Sep 16, 2019",115.57,116.54,117.17,115.38,6.09M
"Sep 13, 2019",117.43,117.16,118.19,116.95,5.64M
"Sep 12, 2019",116.92,116.65,117.07,115.9,4.47M
"Sep 11, 2019",116.02,116.0,116.7,115.22,5.28M
"Sep 10, 2019",116.05,115.99,116.96,115.48,4.86M
"Sep 09, 2019",116.33,114.5,116.61,114.4,5.97M
"Sep 06, 2019",114.73,115.44,115.75,114.62,4.35M
"Sep 05, 2019",115.44,117.67,117.96,115.27,5.83M
"Sep 04, 2019",115.91,115.69,115.96,114.82,5.80M
"Sep 03, 2019",114.64,113.68,115.31,113.49,5.94M
"Aug 30, 2019",114.26,115.0,115.38,113.9,5.71M
"Aug 29, 2019",114.08,114.2,114.59,113.31,5.27M
"Aug 28, 2019",112.72,112.28,113.08,111.68,5.38M
"Aug 27, 2019",112.42,112.42,112.81,111.51,5.73M
"Aug 26, 2019",111.99,111.56,112.27,111.22,5.94M
"Aug 23, 2019",110.83,111.62,111.91,110.13,6.24M
"Aug 22, 2019",111.91,112.2,112.79,111.35,6.00M
"Aug 21, 2019",112.02,113.98,114.07,111.88,8.16M
"Aug 20, 2019",112.05,113.86,114.04,112.01,6.11M
"Aug 19, 2019",113.81,114.35,114.78,113.6,7.18M
"Aug 16, 2019",112.99,114.08,114.93,112.06,10.97M
"Aug 15, 2019",112.69,112.53,113.64,110.16,19.81M
"Aug 14, 2019",106.2,105.48,108.06,105.14,9.31M
"Aug 13, 2019",107.41,105.25,108.11,104.85,6.72M
"Aug 12, 2019",105.22,106.72,106.84,104.84,5.87M
"Aug 09, 2019",107.28,108.06,108.46,106.71,4.19M
"Aug 08, 2019",108.52,108.01,108.84,107.77,4.37M
"Aug 07, 2019",108.2,107.02,108.64,105.92,7.28M
"Aug 06, 2019",107.27,106.19,107.84,105.59,7.02M
"Aug 05, 2019",105.82,108.0,108.0,105.59,7.57M
"Aug 02, 2019",109.4,109.74,110.14,108.15,5.66M
"Aug 01, 2019",109.38,110.32,112.17,109.32,7.45M
"Jul 31, 2019",110.38,111.91,112.34,109.63,6.21M
"Jul 30, 2019",112.06,112.06,112.4,111.67,3.04M
"Jul 29, 2019",112.27,112.84,112.98,111.76,3.75M
"Jul 26, 2019",113.02,112.12,113.33,111.82,4.73M
"Jul 25, 2019",112.22,112.18,112.39,111.66,3.85M
"Jul 24, 2019",112.0,112.03,112.79,111.57,4.18M
"Jul 23, 2019",112.09,113.12,113.2,111.56,5.75M
"Jul 22, 2019",112.82,114.1,114.34,112.32,4.52M
"Jul 19, 2019",113.9,115.0,115.31,113.86,3.80M
"Jul 18, 2019",114.72,114.35,114.78,113.74,3.22M
"Jul 17, 2019",114.6,114.81,115.17,114.2,2.69M
"Jul 16, 2019",114.76,115.33,115.49,114.04,3.49M
"Jul 15, 2019",114.98,114.67,115.08,114.45,3.35M
"Jul 12, 2019",114.6,114.09,114.77,113.62,3.74M
"Jul 11, 2019",113.92,113.34,113.94,113.02,3.90M
"Jul 10, 2019",112.98,113.12,113.61,112.39,4.58M
"Jul 09, 2019",112.88,112.89,113.38,112.6,5.42M
"Jul 08, 2019",112.72,111.92,112.93,111.7,4.72M
"Jul 05, 2019",111.98,112.0,112.24,111.21,3.58M
"Jul 03, 2019",112.32,111.18,112.4,111.0,3.21M
"Jul 02, 2019",111.6,110.83,111.61,110.34,4.06M
"Jul 01, 2019",110.62,111.3,111.97,110.02,5.52M
"Jun 28, 2019",110.49,110.55,111.5,110.24,6.51M
"Jun 27, 2019",110.1,110.06,110.51,108.86,5.48M
"Jun 26, 2019",110.16,110.85,111.08,110.1,4.16M
"Jun 25, 2019",110.72,110.88,111.43,110.4,6.11M
"Jun 24, 2019",111.24,111.49,112.22,111.03,6.03M
"Jun 21, 2019",111.13,110.34,112.19,110.26,13.18M
"Jun 20, 2019",110.32,109.82,110.49,109.28,5.00M
"Jun 19, 2019",109.62,109.8,109.84,108.87,3.92M
"Jun 18, 2019",109.65,109.8,109.96,108.91,4.91M
"Jun 17, 2019",109.16,109.12,109.55,108.26,4.15M
"Jun 14, 2019",109.07,108.78,109.59,108.46,4.53M
"Jun 13, 2019",108.65,109.0,109.58,108.17,5.48M
"Jun 12, 2019",108.82,107.92,108.91,107.92,4.64M
"Jun 11, 2019",107.94,108.0,108.97,107.75,6.75M
"Jun 10, 2019",107.52,106.48,107.78,106.37,6.33M
"Jun 07, 2019",106.06,105.23,106.36,105.05,6.81M
"Jun 06, 2019",105.11,104.49,105.66,104.2,8.06M
"Jun 05, 2019",104.42,102.75,104.78,102.6,6.90M
"Jun 04, 2019",102.56,102.61,102.65,101.44,5.97M
"Jun 03, 2019",101.96,101.63,102.68,101.4,6.61M
"May 31, 2019",101.44,101.35,102.02,100.6,5.93M
"May 30, 2019",102.19,102.49,103.49,101.91,5.02M
"May 29, 2019",102.12,102.11,102.88,101.47,6.52M
"May 28, 2019",102.42,102.56,103.57,102.4,10.27M
"May 24, 2019",102.67,102.18,102.89,102.08,4.48M
"May 23, 2019",101.86,101.82,101.93,100.93,6.45M
"May 22, 2019",102.23,101.6,102.43,101.06,7.34M
"May 21, 2019",101.12,101.51,101.65,100.4,6.89M
"May 20, 2019",101.52,100.39,101.98,100.25,7.19M
"May 17, 2019",100.86,100.24,101.95,99.91,12.37M
"May 16, 2019",101.31,102.83,103.96,100.84,17.12M
"May 15, 2019",99.88,100.2,100.36,99.13,6.74M
"May 14, 2019",100.29,100.14,100.86,99.89,6.35M
"May 13, 2019",99.89,100.45,101.15,99.01,7.36M
"May 10, 2019",101.91,99.76,102.11,99.7,8.74M
"May 09, 2019",99.54,99.27,99.94,98.85,6.24M
"May 08, 2019",100.3,100.25,101.03,99.86,5.88M
"May 07, 2019",101.3,101.8,102.17,100.76,4.58M
"May 06, 2019",102.46,100.75,102.55,100.54,4.61M
"May 03, 2019",102.08,102.32,102.75,101.8,5.32M
"May 02, 2019",101.15,101.43,102.06,100.24,5.01M
"May 01, 2019",101.36,102.77,102.81,101.28,5.34M
"Apr 30, 2019",102.84,101.77,102.92,101.45,6.13M
"Apr 29, 2019",101.56,101.88,102.0,100.78,6.38M
"Apr 26, 2019",101.53,100.45,102.34,99.66,8.11M
"Apr 25, 2019",103.52,103.24,104.14,102.83,3.96M
"Apr 24, 2019",103.53,103.14,103.85,103.09,4.70M
"Apr 23, 2019",103.07,102.53,103.29,101.94,5.05M
"Apr 22, 2019",102.37,102.78,103.54,102.17,5.08M
"Apr 18, 2019",103.18,103.11,103.8,102.89,3.73M
"Apr 17, 2019",103.16,103.0,103.4,102.41,3.73M
"Apr 16, 2019",102.93,102.89,103.39,102.54,4.83M
"Apr 15, 2019",102.43,101.3,102.91,101.26,5.11M
"Apr 12, 2019",101.56,101.0,102.02,101.0,5.16M
"Apr 11, 2019",100.8,99.7,100.83,99.47,5.61M
"Apr 10, 2019",99.6,98.51,99.72,98.5,4.09M
"Apr 09, 2019",98.69,98.8,99.23,98.15,4.37M
"Apr 08, 2019",99.23,98.45,99.25,98.26,5.42M
"Apr 05, 2019",98.83,98.25,99.2,98.16,4.66M
"Apr 04, 2019",98.11,97.25,98.28,97.24,4.03M
"Apr 03, 2019",97.19,97.12,97.4,96.79,5.69M
"Apr 02, 2019",96.94,97.76,98.31,96.9,6.27M
"Apr 01, 2019",97.82,97.97,98.36,97.56,8.51M
"Mar 29, 2019",97.53,97.59,97.67,97.04,7.44M
"Mar 28, 2019",97.13,97.59,97.87,96.53,8.05M
"Mar 27, 2019",97.21,98.14,98.86,96.96,8.47M
"Mar 26, 2019",98.32,98.36,98.85,98.03,4.95M
"Mar 25, 2019",98.17,97.8,98.62,97.63,5.41M
"Mar 22, 2019",98.28,98.58,99.53,97.94,6.71M
"Mar 21, 2019",99.06,98.25,99.13,98.1,6.55M
"Mar 20, 2019",98.64,99.2,99.55,98.54,6.32M
"Mar 19, 2019",99.85,99.99,100.49,99.57,5.41M
"Mar 18, 2019",99.66,98.3,99.77,98.26,5.77M
"Mar 15, 2019",98.42,98.28,98.51,97.6,14.60M
"Mar 14, 2019",98.22,98.41,98.43,97.59,4.93M
"Mar 13, 2019",99.03,98.7,99.35,98.39,5.48M
"Mar 12, 2019",98.37,98.53,98.74,98.05,5.07M
"Mar 11, 2019",98.48,98.04,98.58,97.82,5.35M
"Mar 08, 2019",97.59,97.55,98.42,97.0,5.66M
"Mar 07, 2019",97.45,97.71,98.2,97.23,6.13M
"Mar 06, 2019",98.26,98.27,99.0,97.86,4.70M
"Mar 05, 2019",98.34,98.13,99.19,98.09,6.12M
"Mar 04, 2019",97.85,98.12,98.59,97.37,7.68M
"Mar 01, 2019",97.93,99.47,99.56,97.12,10.35M
"Feb 28, 2019",98.99,98.11,99.47,97.77,11.38M
"Feb 27, 2019",98.11,98.12,98.39,97.59,7.90M
"Feb 26, 2019",98.69,99.02,99.06,97.87,8.49M
"Feb 25, 2019",99.12,100.12,100.13,99.05,9.23M
"Feb 22, 2019",99.55,99.82,100.16,99.14,8.09M
"Feb 21, 2019",99.39,99.66,99.92,98.91,6.41M
"Feb 20, 2019",99.88,101.81,102.34,98.65,17.63M
"Feb 19, 2019",102.2,102.38,104.18,102.07,20.70M
"Feb 15, 2019",99.99,98.98,100.0,98.86,9.48M
"Feb 14, 2019",98.52,97.68,99.2,97.02,7.20M
"Feb 13, 2019",97.94,97.3,98.0,97.09,5.46M
"Feb 12, 2019",96.97,96.82,97.17,96.5,5.88M
"Feb 11, 2019",96.2,95.65,96.35,95.64,5.54M
"Feb 08, 2019",95.58,96.34,96.69,95.14,6.17M
"Feb 07, 2019",96.73,95.11,96.82,95.0,7.01M
"Feb 06, 2019",95.64,95.43,96.01,95.22,4.26M
"Feb 05, 2019",95.6,95.25,95.94,95.02,6.10M
"Feb 04, 2019",94.77,93.86,94.77,93.35,7.27M
"Feb 01, 2019",93.86,95.92,96.0,93.11,12.59M
"Jan 31, 2019",95.83,94.63,96.87,94.63,14.72M
"Jan 30, 2019",94.8,96.68,96.8,94.26,11.85M
"Jan 29, 2019",96.71,96.77,97.16,96.51,5.25M
