,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,movavg_21day,movavg_34day,movavg_14day,stddiv_14day,uppbound,lowbound
0,JETAIRWAYS,EQ,2017-05-15,519.45,520.0,533.4,517.1,527.8,527.5,526.08,1837033,966429811.4,25433,430754,23.45,,,,,,
1,JETAIRWAYS,EQ,2017-05-16,527.5,527.0,536.5,524.65,534.0,534.15,531.79,1382182,735036275.45,23991,284837,20.61,,,,,,
2,JETAIRWAYS,EQ,2017-05-17,534.15,532.0,534.75,526.2,530.0,528.9,529.75,690466,365774206.0,10219,53551,7.76,,,,,,
3,JETAIRWAYS,EQ,2017-05-18,528.9,525.15,538.6,517.5,517.7,522.7,529.55,1701102,900810165.8,25651,309608,18.2,,,,,,
4,JETAIRWAYS,EQ,2017-05-19,522.7,525.6,532.9,517.45,521.0,520.4,524.69,1272799,667824672.75,20409,257037,20.19,,,,,,
5,JETAIRWAYS,EQ,2017-05-22,520.4,521.7,525.15,469.0,479.5,475.65,491.44,3217513,1581202627.25,46980,659957,20.51,,,,,,
6,JETAIRWAYS,EQ,2017-05-23,475.65,485.0,489.0,465.3,471.9,472.85,477.05,2924779,1395251624.6,38240,255332,8.73,,,,,,
7,JETAIRWAYS,EQ,2017-05-24,472.85,473.3,479.9,458.0,466.0,464.8,468.39,2343019,1097440973.45,37266,402723,17.19,,,,,,
8,JETAIRWAYS,EQ,2017-05-25,464.8,468.1,473.3,459.9,469.7,468.95,467.5,1917412,896385540.8,25019,435427,22.71,,,,,,
9,JETAIRWAYS,EQ,2017-05-26,468.95,477.7,491.75,475.1,483.75,483.4,484.19,2668448,1292044525.35,29370,350943,13.15,,,,,,
10,JETAIRWAYS,EQ,2017-05-29,483.4,481.7,485.35,470.0,476.3,474.6,477.85,949984,453951592.6,12123,111663,11.75,,,,,,
11,JETAIRWAYS,EQ,2017-05-30,474.6,471.0,475.05,454.5,458.0,459.65,463.0,1804222,835362146.05,23946,259546,14.39,,,,,,
12,JETAIRWAYS,EQ,2017-05-31,459.65,439.0,482.0,438.25,478.65,477.9,466.81,8231445,3842523967.95,95239,490441,5.96,,,,,,
13,JETAIRWAYS,EQ,2017-06-01,477.9,481.0,487.5,467.55,485.0,484.5,477.04,2948808,1406713262.5,41770,433395,14.7,,,493.9378571428571,27.648719591600297,549.2352963260578,438.64041795965653
14,JETAIRWAYS,EQ,2017-06-02,484.5,485.0,489.75,478.8,483.8,484.85,484.38,1484965,719287679.35,19135,127407,8.58,,,490.9592857142857,26.12381891751591,543.2069235493176,438.7116478792539
15,JETAIRWAYS,EQ,2017-06-05,484.85,482.0,500.5,479.0,499.85,497.15,490.69,2013452,987985368.7,25179,259591,12.89,,,488.0235714285714,23.343864819803763,534.711301068179,441.3358417889639
