,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,year,month,price*volume,Day_Perc_Change,Trend
0,2019-10-24,119.1,119.18,119.56,118.52,2920000.0,2019,10,347772000.0,0.0,Slight or No Change
1,2019-10-23,119.35,119.17,119.85,118.69,2870000.0,2019,10,342534500.0,0.2099076406381295,Slight or No Change
2,2019-10-22,119.58,119.75,120.17,119.39,2600000.0,2019,10,310908000.0,0.19271051529117234,Slight or No Change
3,2019-10-21,119.74,119.3,119.83,118.82,3470000.0,2019,10,415497800.0,0.1338016390700858,Slight or No Change
4,2019-10-18,119.14,120.45,120.6,119.13,5590000.0,2019,10,665992600.0,-0.5010856856522472,Slight negative
5,2019-10-17,119.84,119.67,120.25,119.36,3960000.0,2019,10,474566400.0,0.5875440658049458,Slight positive
6,2019-10-16,119.42,119.31,120.11,119.1,4139999.9999999995,2019,10,494398799.99999994,-0.3504672897196248,Slight or No Change
7,2019-10-15,119.53,119.33,119.99,118.87,5390000.0,2019,10,644266700.0,0.09211187405795407,Slight or No Change
8,2019-10-14,119.17,119.85,120.46,119.1,4600000.0,2019,10,548182000.0,-0.3011796201790373,Slight or No Change
9,2019-10-11,120.24,119.92,120.71,118.72,6150000.0,2019,10,739476000.0,0.8978769824620203,Slight positive
10,2019-10-10,119.61,118.9,119.88,118.6,4440000.0,2019,10,531068400.0,-0.5239520958083776,Slight negative
11,2019-10-09,118.93,118.18,119.3,118.02,3930000.0,2019,10,467394900.0,-0.568514338266024,Slight negative
12,2019-10-08,117.58,116.81,118.67,116.66,5550000.0,2019,10,652569000.0,-1.1351215000420467,Negative
13,2019-10-07,117.23,118.1,118.3,116.88,4750000.0,2019,10,556842500.0,-0.2976696717128746,Slight or No Change
14,2019-10-04,118.16,116.4,118.3,116.19,4870000.0,2019,10,575439200.0,0.7933122920753988,Slight positive
15,2019-10-03,116.31,115.88,116.8,114.58,5370000.0,2019,10,624584700.0,-1.5656736628300583,Negative
16,2019-10-02,116.12,117.4,117.55,115.61,6010000.0,2019,10,697881200.0,-0.16335654715845527,Slight or No Change
17,2019-10-01,117.85,118.85,119.11,117.72,3740000.0,2019,10,440759000.0,1.4898380985187698,Positive
18,2019-09-30,118.68,118.67,119.44,118.56,3600000.0,2019,9,427248000.0,0.704285108188385,Slight positive
19,2019-09-27,118.45,119.21,119.23,117.75,3440000.0,2019,9,407468000.0,-0.19379844961240345,Slight or No Change
20,2019-09-26,118.3,118.8,119.55,118.19,3990000.0,2019,9,472017000.0,-0.12663571127058404,Slight or No Change
21,2019-09-25,118.47,118.47,118.72,117.81,5340000.0,2019,9,632629800.0,0.14370245139476712,Slight or No Change
22,2019-09-24,118.4,118.25,119.86,118.01,7710000.0,2019,9,912864000.0,-0.05908668861314137,Slight or No Change
23,2019-09-23,117.62,116.61,118.41,116.56,5910000.0,2019,9,695134200.0,-0.6587837837837895,Slight negative
24,2019-09-20,116.98,117.35,117.64,116.8,11590000.0,2019,9,1355798200.0,-0.5441251487842247,Slight negative
25,2019-09-19,117.11,117.4,117.81,116.77,3400000.0,2019,9,398174000.0,0.11113010771071075,Slight or No Change
26,2019-09-18,117.16,116.91,117.23,116.18,4120000.0,2019,9,482699200.0,0.04269490222867933,Slight or No Change
27,2019-09-17,116.51,115.32,116.69,115.25,4780000.0,2019,9,556917800.0,-0.5547968589962426,Slight negative
28,2019-09-16,115.57,116.54,117.17,115.38,6090000.0,2019,9,703821300.0,-0.8067976997682691,Slight negative
29,2019-09-13,117.43,117.16,118.19,116.95,5640000.0,2019,9,662305200.0,1.6094142078394214,Positive
30,2019-09-12,116.92,116.65,117.07,115.9,4470000.0,2019,9,522632400.0,-0.43430128587244043,Slight or No Change
31,2019-09-11,116.02,116.0,116.7,115.22,5280000.0,2019,9,612585600.0,-0.7697570988710267,Slight negative
32,2019-09-10,116.05,115.99,116.96,115.48,4860000.0,2019,9,564003000.0,0.025857610756774285,Slight or No Change
33,2019-09-09,116.33,114.5,116.61,114.4,5970000.0,2019,9,694490100.0,0.24127531236535216,Slight or No Change
34,2019-09-06,114.73,115.44,115.75,114.62,4350000.0,2019,9,499075500.0,-1.3753975758617698,Negative
35,2019-09-05,115.44,117.67,117.96,115.27,5830000.0,2019,9,673015200.0,0.618844243005312,Slight positive
36,2019-09-04,115.91,115.69,115.96,114.82,5800000.0,2019,9,672278000.0,0.4071379071379111,Slight or No Change
37,2019-09-03,114.64,113.68,115.31,113.49,5940000.0,2019,9,680961600.0,-1.0956776809593616,Negative
38,2019-08-30,114.26,115.0,115.38,113.9,5710000.0,2019,8,652424600.0,-0.3314724354500975,Slight or No Change
39,2019-08-29,114.08,114.2,114.59,113.31,5270000.0,2019,8,601201600.0,-0.15753544547524312,Slight or No Change
40,2019-08-28,112.72,112.28,113.08,111.68,5380000.0,2019,8,606433600.0,-1.192145862552596,Negative
41,2019-08-27,112.42,112.42,112.81,111.51,5730000.0,2019,8,644166600.0,-0.2661462029808326,Slight or No Change
42,2019-08-26,111.99,111.56,112.27,111.22,5940000.0,2019,8,665220600.0,-0.38249421811066275,Slight or No Change
43,2019-08-23,110.83,111.62,111.91,110.13,6240000.0,2019,8,691579200.0,-1.035806768461467,Negative
44,2019-08-22,111.91,112.2,112.79,111.35,6000000.0,2019,8,671460000.0,0.9744653974555595,Slight positive
45,2019-08-21,112.02,113.98,114.07,111.88,8160000.0,2019,8,914083200.0,0.09829327137877986,Slight or No Change
46,2019-08-20,112.05,113.86,114.04,112.01,6110000.0,2019,8,684625500.0,0.026780931976433386,Slight or No Change
47,2019-08-19,113.81,114.35,114.78,113.6,7180000.0,2019,8,817155800.0,1.5707273538598798,Positive
48,2019-08-16,112.99,114.08,114.93,112.06,10970000.0,2019,8,1239500300.0,-0.7204990774097197,Slight negative
49,2019-08-15,112.69,112.53,113.64,110.16,19810000.0,2019,8,2232388900.0,-0.26551022214355013,Slight or No Change
50,2019-08-14,106.2,105.48,108.06,105.14,9310000.0,2019,8,988722000.0,-5.759162303664922,Among top losers
51,2019-08-13,107.41,105.25,108.11,104.85,6720000.0,2019,8,721795200.0,1.13935969868173,Positive
52,2019-08-12,105.22,106.72,106.84,104.84,5870000.0,2019,8,617641400.0,-2.0389163020202994,Negative
53,2019-08-09,107.28,108.06,108.46,106.71,4190000.0000000005,2019,8,449503200.00000006,1.9578026991066366,Positive
54,2019-08-08,108.52,108.01,108.84,107.77,4370000.0,2019,8,474232400.0,1.1558538404175867,Positive
55,2019-08-07,108.2,107.02,108.64,105.92,7280000.0,2019,8,787696000.0,-0.2948765204570547,Slight or No Change
56,2019-08-06,107.27,106.19,107.84,105.59,7020000.0,2019,8,753035400.0,-0.8595194085027735,Slight negative
57,2019-08-05,105.82,108.0,108.0,105.59,7570000.0,2019,8,801057400.0,-1.3517292812529114,Negative
58,2019-08-02,109.4,109.74,110.14,108.15,5660000.0,2019,8,619204000.0,3.383103383103392,Among top gainers
59,2019-08-01,109.38,110.32,112.17,109.32,7450000.0,2019,8,814881000.0,-0.018281535649000702,Slight or No Change
60,2019-07-31,110.38,111.91,112.34,109.63,6210000.0,2019,7,685459800.0,0.914243920277924,Slight positive
61,2019-07-30,112.06,112.06,112.4,111.67,3040000.0,2019,7,340662400.0,1.5220148577640868,Positive
62,2019-07-29,112.27,112.84,112.98,111.76,3750000.0,2019,7,421012500.0,0.18739960735318917,Slight or No Change
63,2019-07-26,113.02,112.12,113.33,111.82,4730000.0,2019,7,534584600.0,0.6680324218402145,Slight positive
64,2019-07-25,112.22,112.18,112.39,111.66,3850000.0,2019,7,432047000.0,-0.7078393204742461,Slight negative
65,2019-07-24,112.0,112.03,112.79,111.57,4179999.9999999995,2019,7,468159999.99999994,-0.19604348600962274,Slight or No Change
